Gene	"Gene description"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"
COX7C	"Cytochrome c oxidase subunit 7C"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
COX8A	"Cytochrome c oxidase subunit 8A"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
COX8C	"Cytochrome c oxidase subunit 8C"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"
CP	Ceruloplasmin	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CPA1	"Carboxypeptidase A1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CPA2	"Carboxypeptidase A2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CPA3	"Carboxypeptidase A3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CPA5	"Carboxypeptidase A5"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"
CPA6	"Carboxypeptidase A6"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
CPNE7	"Copine 7"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
CPOX	"Coproporphyrinogen oxidase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CPS1	"Carbamoyl-phosphate synthase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CPT1A	"Carnitine palmitoyltransferase 1A"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CPT1B	"Carnitine palmitoyltransferase 1B"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CPT1C	"Carnitine palmitoyltransferase 1C"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
CPT2	"Carnitine palmitoyltransferase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CRAT	"Carnitine O-acetyltransferase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CREBBP	"CREB binding protein"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CRISP3	"Cysteine rich secretory protein 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CRLS1	"Cardiolipin synthase 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
CROT	"Carnitine O-octanoyltransferase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CRYL1	"Crystallin lambda 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CRYZ	"Crystallin zeta"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CS	"Citrate synthase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CSAD	"Cysteine sulfinic acid decarboxylase"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
CSGALNACT1	"Chondroitin sulfate N-acetylgalactosaminyltransferase 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
CSGALNACT2	"Chondroitin sulfate N-acetylgalactosaminyltransferase 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
CSNK1G2	"Casein kinase 1 gamma 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CTBP1	"C-terminal binding protein 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CTDSPL2	"CTD small phosphatase like 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
CTH	"Cystathionine gamma-lyase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CTPS1	"CTP synthase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CTPS2	"CTP synthase 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
CTSA	"Cathepsin A"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CTSB	"Cathepsin B"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CTSC	"Cathepsin C"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CTSD	"Cathepsin D"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CTSE	"Cathepsin E"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CTSF	"Cathepsin F"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CTSG	"Cathepsin G"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CTSH	"Cathepsin H"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CTSK	"Cathepsin K"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CTSL	"Cathepsin L"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CTSO	"Cathepsin O"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
CTSS	"Cathepsin S"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CTSV	"Cathepsin V"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
CTSW	"Cathepsin W"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CTSZ	"Cathepsin Z"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CUBN	Cubilin	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CWC27	"CWC27 spliceosome associated cyclophilin"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYB5D1	"Cytochrome b5 domain containing 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"
CYB5R1	"Cytochrome b5 reductase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYB5R2	"Cytochrome b5 reductase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYB5R3	"Cytochrome b5 reductase 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYB5R4	"Cytochrome b5 reductase 4"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYB5RL	"Cytochrome b5 reductase like"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"
CYBRD1	"Cytochrome b reductase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYC1	"Cytochrome c1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYLD	"CYLD lysine 63 deubiquitinase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYP11A1	"Cytochrome P450 family 11 subfamily A member 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYP11B1	"Cytochrome P450 family 11 subfamily B member 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYP11B2	"Cytochrome P450 family 11 subfamily B member 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYP17A1	"Cytochrome P450 family 17 subfamily A member 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYP19A1	"Cytochrome P450 family 19 subfamily A member 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYP1A1	"Cytochrome P450 family 1 subfamily A member 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
CYP1A2	"Cytochrome P450 family 1 subfamily A member 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYP1B1	"Cytochrome P450 family 1 subfamily B member 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYP21A2	"Cytochrome P450 family 21 subfamily A member 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYP24A1	"Cytochrome P450 family 24 subfamily A member 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYP26A1	"Cytochrome P450 family 26 subfamily A member 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
CYP26B1	"Cytochrome P450 family 26 subfamily B member 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYP27A1	"Cytochrome P450 family 27 subfamily A member 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYP27B1	"Cytochrome P450 family 27 subfamily B member 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
CYP2A13	"Cytochrome P450 family 2 subfamily A member 13"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYP2A6	"Cytochrome P450 family 2 subfamily A member 6"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYP2A7	"Cytochrome P450 family 2 subfamily A member 7"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"
CYP2B6	"Cytochrome P450 family 2 subfamily B member 6"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYP2C18	"Cytochrome P450 family 2 subfamily C member 18"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
CYP2C19	"Cytochrome P450 family 2 subfamily C member 19"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYP2C8	"Cytochrome P450 family 2 subfamily C member 8"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYP2C9	"Cytochrome P450 family 2 subfamily C member 9"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYP2D6	"Cytochrome P450 family 2 subfamily D member 6"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYP2E1	"Cytochrome P450 family 2 subfamily E member 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYP2F1	"Cytochrome P450 family 2 subfamily F member 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
CYP2J2	"Cytochrome P450 family 2 subfamily J member 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
CYP2R1	"Cytochrome P450 family 2 subfamily R member 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
CYP2S1	"Cytochrome P450 family 2 subfamily S member 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYP2U1	"Cytochrome P450 family 2 subfamily U member 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYP39A1	"Cytochrome P450 family 39 subfamily A member 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
CYP3A4	"Cytochrome P450 family 3 subfamily A member 4"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYP3A43	"Cytochrome P450 family 3 subfamily A member 43"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYP3A5	"Cytochrome P450 family 3 subfamily A member 5"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYP3A7	"Cytochrome P450 family 3 subfamily A member 7"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
CYP3A7-CYP3A51P	"CYP3A7-CYP3A51P readthrough"	"Evidence at protein level"	"Evidence at protein level"		
